trip_id,vendor_id,date_id,pickup_location_id,dropoff_location_id,payment_type_id,ratecode_id,passenger_count,trip_distance,fare_amount,total_amount,store_and_fwd_flag,trip_duration
343,1,20190101,246,107,2,1,1,2.3,14.5,15.8,NO,21
344,1,20190101,79,232,2,1,1,1.5,9.0,10.3,NO,11
345,2,20190101,142,164,2,1,1,3.19,22.0,23.3,NO,37
346,2,20190101,233,238,2,1,1,3.93,15.0,16.3,NO,17
347,2,20190101,238,239,1,1,1,1.04,5.5,9.43,NO,5
348,2,20190101,239,162,2,1,1,2.65,12.5,13.8,NO,16
349,1,20190101,113,181,2,1,4,5.4,22.0,23.3,NO,27
350,1,20190101,181,257,3,1,4,0.8,5.0,6.3,NO,5
351,2,20190101,236,114,1,1,2,4.85,20.0,27.69,NO,27
352,2,20190101,114,79,2,1,3,0.13,2.5,3.8,NO,1
353,2,20190101,79,79,1,1,2,0.49,4.0,6.89,NO,2
354,2,20190101,79,107,2,1,2,0.32,3.5,4.8,NO,2
355,2,20190101,107,186,1,1,2,1.68,8.0,11.16,NO,9
356,2,20190101,132,216,2,1,1,5.01,17.0,18.3,NO,13
357,2,20190101,132,218,2,1,1,3.67,12.5,13.8,NO,9
358,2,20190101,249,90,2,1,1,1.14,16.0,17.3,NO,25
359,2,20190101,90,249,2,1,1,0.7,6.5,7.8,NO,8
360,2,20190101,132,129,2,1,3,12.18,35.5,36.8,NO,24
361,2,20190101,107,107,1,1,1,0.5,4.0,6.36,NO,2
362,2,20190101,141,263,2,1,1,0.99,5.0,6.3,NO,3
363,2,20190101,262,75,2,1,1,0.85,5.0,6.3,NO,3
364,1,20190101,238,24,1,1,1,0.9,5.5,8.8,NO,4
365,1,20190101,24,238,1,1,1,1.3,7.0,9.55,NO,6
366,1,20190101,239,238,1,1,1,1.4,8.0,11.15,NO,9
367,1,20190101,238,247,1,1,1,7.6,23.0,29.15,NO,18
368,1,20190101,126,213,3,1,1,1.8,7.0,8.3,NO,4
369,1,20190101,263,223,2,1,2,5.7,19.0,20.3,NO,18
370,1,20190101,107,170,1,1,1,0.9,6.0,8.3,NO,6
371,1,20190101,229,112,1,1,1,4.3,15.5,20.15,NO,16
372,1,20190101,159,18,2,1,1,7.5,27.5,28.8,NO,32
373,1,20190101,141,50,2,1,1,2.8,14.0,15.3,NO,19
374,1,20190101,50,239,1,1,1,1.7,7.5,10.5,NO,6
375,1,20190101,41,42,2,1,1,2.4,11.0,12.3,NO,10
376,1,20190101,244,152,1,1,1,1.5,8.0,11.15,NO,7
377,1,20190101,166,151,2,1,1,1.2,6.5,7.8,NO,5
378,1,20190101,238,263,1,1,2,1.7,8.5,12.25,NO,9
379,1,20190101,263,164,1,1,2,3.5,14.5,18.95,NO,17
380,2,20190101,164,41,1,1,6,4.9,22.5,28.56,NO,32
381,1,20190101,140,237,2,1,1,1.1,9.0,10.3,NO,12
382,1,20190101,142,163,2,1,3,1.3,8.0,9.3,NO,10
383,1,20190101,142,238,1,1,2,1.8,9.5,12.95,NO,10
384,1,20190101,148,114,1,1,2,1.1,7.5,10.55,NO,9
385,2,20190101,239,239,2,1,1,0.36,4.0,5.3,NO,3
386,2,20190101,238,151,1,1,1,0.76,5.5,8.16,NO,5
387,2,20190101,239,68,2,1,1,2.89,14.5,15.8,NO,19
388,2,20190101,140,229,2,1,1,1.04,6.5,7.8,NO,6
389,2,20190101,161,43,1,1,1,1.5,8.5,11.76,NO,10
390,1,20190101,243,243,2,1,1,1.9,7.5,8.8,NO,5
391,1,20190101,48,263,1,1,2,3.7,16.0,20.75,NO,21
392,2,20190101,137,262,1,1,1,3.01,10.0,13.56,NO,7
393,2,20190101,140,141,1,1,1,0.46,3.5,6.0,NO,1
394,2,20190101,170,262,1,1,1,3.47,15.5,19.82,NO,20
395,1,20190101,161,170,2,1,3,0.6,12.0,13.3,NO,19
396,1,20190101,164,158,1,1,1,1.7,9.0,12.35,NO,11
397,2,20190101,13,48,2,1,1,3.89,16.0,17.3,NO,18
398,2,20190101,48,239,1,1,1,2.78,12.0,15.0,NO,12
399,2,20190101,239,151,1,1,1,1.48,7.5,10.56,NO,7
400,2,20190101,164,263,1,1,2,3.57,12.5,14.8,NO,11
401,2,20190101,141,233,1,1,1,1.31,6.5,9.36,NO,5
