trip_id,vendor_id,date_id,pickup_location_id,dropoff_location_id,payment_type_id,ratecode_id,passenger_count,trip_distance,fare_amount,total_amount,store_and_fwd_flag,trip_duration
726,1,20190101,107,230,1,1,1,2.4,17.0,22.85,NO,27
727,1,20190101,163,231,1,1,2,5.5,23.0,29.15,NO,31
728,2,20190101,263,229,1,1,1,1.68,7.0,9.63,NO,5
729,2,20190101,138,263,1,1,1,8.28,23.5,36.67,NO,1416
730,2,20190101,79,231,1,1,1,2.02,10.0,14.69,NO,11
731,2,20190101,231,141,1,1,1,8.08,25.5,32.16,NO,21
732,2,20190101,181,114,2,1,1,3.97,17.0,18.3,NO,20
733,2,20190101,114,162,1,1,1,2.85,15.5,20.16,NO,22
734,1,20190101,262,263,2,1,2,0.3,4.0,5.3,NO,2
735,1,20190101,263,107,1,1,1,4.3,16.0,20.75,NO,16
736,1,20190101,107,162,2,1,3,1.1,6.0,7.3,NO,5
737,1,20190101,132,36,1,1,1,11.2,33.0,41.15,NO,31
738,2,20190101,142,239,1,1,1,1.15,7.0,9.3,NO,7
739,2,20190101,239,162,2,1,1,2.51,10.5,11.8,NO,11
740,2,20190101,249,170,2,1,1,2.22,14.0,15.3,NO,21
741,2,20190101,233,162,1,1,1,0.78,5.5,8.16,NO,5
742,2,20190101,162,234,1,1,1,2.06,9.0,12.36,NO,10
743,2,20190101,50,68,1,1,1,2.24,9.5,12.0,NO,9
744,2,20190101,68,48,1,1,1,2.29,11.5,15.36,NO,13
745,2,20190101,50,113,1,1,1,3.17,15.0,19.56,NO,20
746,2,20190101,113,90,1,1,1,1.18,6.0,8.76,NO,5
747,1,20190101,249,90,1,1,2,0.7,4.5,7.5,NO,3
748,1,20190101,90,68,1,1,4,0.5,6.0,8.75,NO,7
749,1,20190101,68,238,2,1,1,3.8,16.5,17.8,NO,21
750,1,20190101,161,262,2,1,1,2.5,13.0,14.3,NO,17
751,2,20190101,132,74,1,2,2,17.61,52.0,70.27,NO,23
752,2,20190101,263,95,1,1,1,9.53,29.5,40.04,NO,26
753,1,20190101,48,186,2,1,1,1.5,8.0,9.3,NO,9
754,1,20190101,186,237,1,1,1,2.3,12.5,14.8,NO,18
755,1,20190101,237,236,2,1,1,1.2,6.0,7.3,NO,5
756,1,20190101,236,238,1,1,1,1.6,7.5,9.8,NO,7
757,2,20190101,114,237,2,1,1,4.83,21.0,22.3,NO,29
758,1,20190101,234,164,2,1,1,0.7,7.0,8.3,NO,9
759,1,20190101,234,143,1,1,1,2.6,17.5,23.5,NO,26
760,2,20190101,50,246,1,1,2,0.8,5.5,8.16,NO,5
761,1,20190101,262,236,1,1,2,0.8,6.5,8.97,NO,7
762,1,20190101,236,74,1,1,4,2.2,8.0,9.3,NO,6
763,1,20190101,74,116,1,1,2,2.7,12.5,16.55,NO,16
764,2,20190101,114,158,1,1,2,1.84,12.5,16.56,NO,18
765,2,20190101,158,148,1,1,2,3.26,17.0,21.96,NO,26
766,2,20190101,142,151,2,1,1,1.8,8.0,9.3,NO,7
767,2,20190101,151,166,1,1,1,0.56,4.5,6.96,NO,4
768,2,20190101,166,238,1,1,1,0.72,5.0,7.88,NO,4
769,2,20190101,238,170,2,1,1,4.03,16.0,17.3,NO,20
770,1,20190101,263,140,2,1,3,1.4,6.5,7.8,NO,5
771,1,20190101,141,75,1,1,1,1.9,7.5,10.56,NO,5
772,1,20190101,236,238,2,1,3,1.4,7.5,8.8,NO,7
773,1,20190101,43,238,1,1,2,0.8,5.0,7.55,NO,3
774,1,20190101,238,48,1,1,1,2.5,12.0,23.3,NO,14
775,2,20190101,90,246,2,1,2,0.57,8.0,9.3,NO,10
776,2,20190101,68,68,1,1,1,0.28,3.0,5.16,NO,1
777,2,20190101,158,90,1,1,1,0.95,6.0,8.76,NO,5
778,2,20190101,113,158,1,1,2,0.86,6.0,8.76,NO,6
779,2,20190101,50,263,1,1,1,4.1,16.5,20.65,NO,19
780,2,20190101,263,141,1,1,1,1.05,5.5,8.16,NO,3
781,2,20190101,234,186,1,1,1,0.99,6.0,8.8,NO,6
782,2,20181231,229,229,1,1,1,0.54,5.5,8.84,NO,5
783,2,20190101,263,236,2,1,2,0.74,5.5,6.8,NO,5
784,2,20190101,236,236,2,1,1,0.71,4.0,5.3,NO,2
785,1,20190101,7,146,2,1,1,1.0,5.5,6.8,NO,4
786,1,20190101,141,237,1,1,1,0.4,4.5,6.8,NO,3
787,1,20190101,237,237,2,1,1,0.7,5.0,6.3,NO,4
788,1,20190101,237,143,1,1,1,1.7,9.0,11.8,NO,11
789,1,20190101,143,50,1,1,1,0.7,5.0,7.55,NO,4
790,1,20190101,211,4,1,1,1,1.5,8.5,12.25,NO,9
791,1,20190101,4,261,1,1,1,3.9,13.0,17.15,NO,9
792,1,20190101,261,79,1,1,2,2.5,13.0,17.15,NO,16
793,1,20190101,237,236,1,1,1,1.2,5.5,8.15,NO,3
794,1,20190101,236,162,1,1,1,1.3,5.5,8.8,NO,3
795,1,20190101,162,50,2,1,1,2.5,16.5,17.8,NO,26
796,1,20190101,90,50,1,1,1,1.6,11.0,13.53,NO,15
797,1,20190101,50,249,1,1,1,3.1,15.5,20.15,NO,22
798,1,20190101,249,90,2,1,2,0.5,4.5,5.8,NO,3
799,2,20190101,229,140,1,1,1,2.69,10.0,13.56,NO,10
800,2,20190101,262,262,1,1,2,1.89,9.0,13.39,NO,10
801,2,20190101,148,79,1,1,1,0.89,5.5,8.16,NO,5
802,2,20190101,79,158,1,1,1,1.45,9.5,12.96,NO,12
803,1,20190101,164,79,2,1,4,1.7,9.5,10.8,NO,12
804,1,20190101,137,141,1,1,1,2.0,8.0,11.15,NO,7
805,1,20190101,141,83,2,1,1,5.9,18.5,19.8,NO,13
806,2,20190101,158,114,2,1,1,0.51,6.0,7.3,NO,7
807,2,20190101,158,249,1,1,1,0.9,5.5,8.5,NO,5
808,2,20190101,114,163,1,1,1,3.12,19.0,20.3,NO,29
809,1,20190101,249,249,1,1,1,0.6,5.5,7.48,NO,5
810,1,20190101,158,48,1,1,1,2.6,14.0,18.35,NO,19
811,1,20190101,166,24,2,1,1,1.0,6.0,7.3,NO,5
812,1,20190101,43,262,1,1,1,1.7,9.0,11.05,NO,10
813,1,20190101,236,239,1,1,2,1.5,8.0,10.3,NO,8
814,1,20190101,158,148,1,1,1,2.2,10.5,12.98,NO,12
815,1,20190101,148,141,1,1,1,5.1,19.5,24.95,NO,20
816,1,20190101,141,236,1,1,1,0.8,4.5,6.95,NO,3
817,2,20190101,236,263,1,1,1,0.55,4.5,7.54,NO,3
818,2,20190101,263,68,2,1,1,4.82,20.0,21.3,NO,27
819,2,20190101,68,41,2,1,1,6.06,24.5,25.8,NO,30
820,2,20190101,234,170,1,1,1,1.11,7.5,9.8,NO,9
821,2,20190101,164,231,2,1,1,3.29,13.5,14.8,NO,17
822,2,20190101,231,211,1,1,1,0.67,4.5,6.96,NO,3
823,2,20190101,125,113,1,1,1,0.75,4.5,7.54,NO,2
824,2,20190101,90,79,1,1,1,1.12,7.0,9.96,NO,8
825,1,20190101,226,122,2,1,1,8.8,27.5,28.8,NO,67
826,2,20190101,262,137,2,1,1,3.14,12.0,13.3,NO,12
827,2,20190101,249,158,1,1,1,0.36,4.5,10.8,NO,4
828,2,20190101,249,68,1,1,1,0.4,3.5,5.8,NO,2
829,2,20190101,234,234,2,1,1,0.84,8.0,9.3,NO,10
830,2,20190101,234,137,1,1,1,1.47,10.0,12.3,NO,13
831,2,20190101,246,246,1,1,2,0.99,5.5,8.5,NO,4
832,2,20190101,246,193,2,1,2,6.81,25.0,26.3,NO,29
833,2,20190101,137,79,1,1,1,0.83,6.0,8.76,NO,6
834,2,20190101,79,107,1,1,1,0.8,4.5,7.54,NO,3
835,1,20190101,48,235,2,1,2,8.8,26.0,27.3,NO,20
836,1,20190101,244,68,2,1,1,8.0,27.0,28.3,NO,25
837,2,20190101,140,236,2,1,2,0.61,4.0,5.3,NO,1
838,2,20190101,238,249,1,1,2,6.18,21.0,27.88,NO,20
839,2,20190101,158,68,1,1,2,0.77,4.5,7.25,NO,3
840,2,20190101,75,140,1,1,2,2.3,9.5,12.96,NO,9
841,2,20190101,237,244,2,1,2,6.37,21.5,22.8,NO,24
842,1,20190101,132,133,1,1,4,16.6,48.0,56.3,NO,37
843,2,20190101,236,263,2,1,1,0.43,4.0,5.3,NO,2
844,2,20190101,237,90,1,1,1,3.47,17.5,21.62,NO,25
845,2,20190101,90,231,2,1,2,1.67,8.5,9.8,NO,9
846,2,20190101,231,231,1,1,2,0.55,4.0,6.36,NO,2
847,2,20190101,170,90,2,1,1,0.95,11.0,12.3,NO,16
848,2,20190101,68,232,2,1,1,2.61,15.0,16.3,NO,22
849,2,20190101,236,236,1,1,2,0.69,5.0,7.24,NO,3
850,2,20190101,262,13,2,1,3,8.39,25.0,26.3,NO,17
851,2,20190101,125,114,1,1,2,0.78,4.5,7.54,NO,3
852,1,20190101,137,224,2,1,2,0.8,4.5,5.8,NO,3
853,1,20190101,79,79,1,1,1,0.3,4.0,6.6,NO,2
854,1,20190101,79,79,1,1,2,0.7,5.0,7.55,NO,4
855,1,20190101,79,231,1,1,2,1.4,8.0,11.15,YES,9
856,1,20190101,144,170,1,1,4,2.2,10.0,16.3,NO,11
857,1,20190101,48,170,2,1,1,2.1,13.0,14.3,NO,20
858,1,20190101,170,231,2,1,1,3.4,15.5,16.8,NO,21
859,2,20181231,161,151,1,1,4,3.47,12.0,15.96,NO,10
860,2,20190101,238,151,1,1,4,0.55,5.0,8.19,NO,4
861,2,20190101,238,141,2,1,5,2.3,11.0,12.3,NO,12
862,2,20190101,141,144,1,1,5,5.89,20.5,25.8,NO,20
863,2,20190101,79,148,1,1,1,1.05,6.0,8.76,NO,5
864,2,20190101,148,137,2,1,1,1.91,8.5,9.8,NO,8
865,1,20190101,48,209,2,1,1,6.0,25.0,26.3,NO,32
866,2,20190101,132,28,2,1,1,7.08,20.5,21.8,NO,13
867,1,20190101,143,237,1,1,2,1.7,9.5,12.8,NO,12
868,2,20190101,234,170,1,1,1,0.65,6.0,8.3,NO,6
869,2,20190101,50,68,2,1,1,1.13,11.0,12.3,NO,18
870,2,20190101,161,236,2,1,3,2.73,13.5,14.8,NO,16
871,2,20190101,162,229,1,1,3,0.33,3.5,5.8,NO,1
872,2,20190101,161,37,2,1,1,8.3,31.0,38.06,NO,37
873,1,20190101,144,237,1,1,4,3.8,20.0,25.56,NO,31
874,1,20190101,237,236,1,1,3,1.8,8.0,11.6,NO,7
875,2,20190101,68,100,1,1,2,2.44,20.5,28.34,NO,33
876,2,20190101,113,249,1,1,1,0.75,6.0,8.4,NO,6
877,2,20190101,249,249,1,1,1,1.1,7.5,10.56,NO,8
878,2,20190101,141,166,2,1,2,3.29,12.5,13.8,NO,13
879,2,20190101,24,262,1,1,1,3.06,12.5,13.8,NO,14
880,1,20190101,114,114,1,1,1,0.9,6.0,8.75,NO,6
881,1,20190101,114,246,1,1,1,2.4,14.5,18.95,NO,19
882,1,20190101,68,75,2,1,2,5.7,20.0,21.3,NO,23
883,1,20190101,45,48,1,1,2,4.7,25.0,31.55,NO,39
884,1,20190101,48,229,2,1,4,4.3,24.5,25.8,NO,38
885,1,20190101,231,79,1,1,1,1.7,8.0,11.15,NO,8
886,1,20190101,231,112,1,1,1,5.8,18.5,23.75,NO,14
887,2,20190101,79,87,2,1,1,3.48,14.0,15.3,NO,17
888,1,20190101,234,161,1,1,2,1.6,11.5,12.8,NO,16
889,1,20190101,113,229,1,1,2,2.5,12.0,13.97,NO,16
890,1,20190101,141,263,2,1,2,0.9,5.0,6.3,NO,3
891,1,20190101,263,262,1,1,1,0.6,4.5,6.8,NO,4
892,2,20190101,141,43,1,1,1,2.27,9.5,13.3,NO,9
893,2,20190101,236,236,1,1,3,0.58,4.5,7.54,NO,3
894,2,20190101,236,263,2,1,1,1.07,6.5,7.8,NO,7
895,2,20190101,114,170,1,1,1,2.31,11.5,15.36,NO,15
896,2,20190101,162,142,2,1,1,1.93,11.0,12.3,NO,13
897,2,20190101,142,116,1,1,1,3.68,15.5,21.84,NO,19
898,2,20190101,249,100,2,1,4,2.39,19.5,20.8,NO,31
899,2,20190101,68,239,1,1,4,3.07,14.5,19.75,NO,20
900,1,20190101,238,238,1,1,1,0.5,4.0,6.35,NO,2
901,1,20190101,238,239,2,1,1,1.1,6.5,7.8,NO,6
902,1,20190101,239,238,1,1,1,0.9,5.0,7.55,NO,2
